name;group;type;obj_value_grb;gap_grb;n_vehicles_used_grb;time_grb;status;optimal;tle_feas;tle_not_feas
lr103;08R_08V_02I_03M;t1;546.38;43.3;0.38;3600.01;9;0;1;0
lr103;08R_08V_02I_04M;t1;546.38;44.8;0.38;3600.02;9;0;1;0
lr104;08R_08V_02I_03M;t1;558.37;49.18;0.38;3600.01;9;0;1;0
lr104;08R_08V_02I_04M;t1;558.37;41.54;0.38;3600.01;9;0;1;0
lr105;08R_08V_02I_03M;t1;553.09;0;0.5;2.35;2;1;0;0
lr105;08R_08V_02I_04M;t1;553.09;0;0.5;3.6;2;1;0;0
lr101;08R_08V_04I_03M;t1;1155.57;0;0.88;0.37;2;1;0;0
lr101;08R_08V_04I_04M;t1;1067.37;0;0.88;1.82;2;1;0;0
lr102;08R_08V_04I_03M;t1;772.63;0;0.62;20.54;2;1;0;0
lr102;08R_08V_04I_04M;t1;771.68;0;0.62;43.71;2;1;0;0
lr103;08R_08V_04I_03M;t1;563.83;48.07;0.38;3600.04;9;0;1;0
lr103;08R_08V_04I_04M;t1;562.45;31.77;0.38;3600.05;9;0;1;0
lr104;08R_08V_04I_03M;t1;649.35;9.63;0.62;3600.02;9;0;1;0
lr104;08R_08V_04I_04M;t1;647.39;0.48;0.62;3600.04;9;0;1;0
lr105;08R_08V_04I_03M;t1;754.77;0;0.62;70.71;2;1;0;0
lr105;08R_08V_04I_04M;t1;743.51;0.01;0.62;280.99;2;1;0;0
lr101;10R_10V_02I_03M;t1;1295.64;0;0.8;4.59;2;1;0;0
lr101;10R_10V_02I_04M;t1;1245.7;0.01;0.8;50.14;2;1;0;0
lr102;10R_10V_02I_03M;t1;1018.62;0;0.6;123.22;2;1;0;0
lr102;10R_10V_02I_04M;t1;1018.62;0.01;0.6;140.39;2;1;0;0
lr103;10R_10V_02I_03M;t1;607.23;67.57;0.3;3600.02;9;0;1;0
lr103;10R_10V_02I_04M;t1;607.23;76.45;0.3;3600.02;9;0;1;0
lr104;10R_10V_02I_03M;t1;679.21;76.34;0.4;3600.01;9;0;1;0
lr104;10R_10V_02I_04M;t1;663.54;85.89;0.4;3600.01;9;0;1;0
lr105;10R_10V_02I_03M;t1;670.47;0;0.5;33.72;2;1;0;0
lr105;10R_10V_02I_04M;t1;670.47;0;0.5;35.12;2;1;0;0
lr101;10R_10V_04I_03M;t1;1260.37;0;0.9;8.68;2;1;0;0
lr101;10R_10V_04I_04M;t1;1197.46;0;0.9;2.64;2;1;0;0
lr102;10R_10V_04I_03M;t1;939.28;0.57;0.6;3600.01;9;0;1;0
lr102;10R_10V_04I_04M;t1;937.46;0.01;0.6;1933.61;2;1;0;0
lr103;10R_10V_04I_03M;t1;609.66;89.5;0.4;3600.1;9;0;1;0
lr103;10R_10V_04I_04M;t1;609.25;91.33;0.4;3600.06;9;0;1;0
lr104;10R_10V_04I_03M;t1;725.92;81.89;0.5;3600.02;9;0;1;0
lr104;10R_10V_04I_04M;t1;725.92;87.93;0.5;3600.03;9;0;1;0
lr105;10R_10V_04I_03M;t1;668.46;0;0.4;47.79;2;1;0;0
lr105;10R_10V_04I_04M;t1;665.48;0;0.4;66.35;2;1;0;0
lr101;12R_12V_02I_03M;t1;1431.73;0.01;0.83;34.72;2;1;0;0
lr101;12R_12V_02I_04M;t1;1381.79;0.01;0.83;756.71;2;1;0;0
lr102;12R_12V_02I_03M;t1;965.99;0;0.5;288.26;2;1;0;0
lr102;12R_12V_02I_04M;t1;960.14;0;0.5;206.15;2;1;0;0
lr103;12R_12V_02I_03M;t1;716.73;95.93;0.33;3600.04;9;0;1;0
lr103;12R_12V_02I_04M;t1;715.78;100;0.33;3600.07;9;0;1;0
lr104;12R_12V_02I_03M;t1;793.11;100;0.42;3600.05;9;0;1;0
lr104;12R_12V_02I_04M;t1;768.87;100;0.33;3600.08;9;0;1;0
lr105;12R_12V_02I_03M;t1;1335.76;5.89;0.67;3600.01;9;0;1;0
lr105;12R_12V_02I_04M;t1;1295.25;5.14;0.67;3600.01;9;0;1;0
lr101;12R_12V_04I_03M;t1;1344.42;1.83;0.75;3600.01;9;0;1;0
lr101;12R_12V_04I_04M;t1;1308.88;1.7;0.75;3600;9;0;1;0
lr102;12R_12V_04I_03M;t1;974.52;0;0.5;894.98;2;1;0;0
lr102;12R_12V_04I_04M;t1;967.38;0;0.5;1553.14;2;1;0;0
lr103;12R_12V_04I_03M;t1;779.27;100;0.42;3600.07;9;0;1;0
lr103;12R_12V_04I_04M;t1;779.12;100;0.42;3600.07;9;0;1;0
lr104;12R_12V_04I_03M;t1;843.32;100;0.42;3600.08;9;0;1;0
lr104;12R_12V_04I_04M;t1;843.32;100;0.42;3600.11;9;0;1;0
lr105;12R_12V_04I_03M;t1;834.01;1.07;0.5;3600.01;9;0;1;0
lr105;12R_12V_04I_04M;t1;831.96;1.96;0.5;3600.01;9;0;1;0
lr201;06R_06V_02I_03M;t2;695.54;0;0.5;1.99;2;1;0;0
lr201;06R_06V_02I_04M;t2;693.78;0;0.5;2.06;2;1;0;0
lr202;06R_06V_02I_03M;t2;606.04;0;0.33;138.17;2;1;0;0
lr202;06R_06V_02I_04M;t2;606.04;0;0.33;155.23;2;1;0;0
lr203;06R_06V_02I_03M;t2;589.87;0;0.33;29.06;2;1;0;0
lr203;06R_06V_02I_04M;t2;589.87;0;0.33;36.79;2;1;0;0
lr204;06R_06V_02I_03M;t2;546.24;0;0.17;2668.79;2;1;0;0
lr204;06R_06V_02I_04M;t2;536.06;0;0.17;3311.81;2;1;0;0
lr205;06R_06V_02I_03M;t2;551.63;0;0.17;111.98;2;1;0;0
lr205;06R_06V_02I_04M;t2;549.2;0;0.17;39;2;1;0;0
lr201;06R_06V_04I_03M;t2;739.27;0;0.67;8.78;2;1;0;0
lr201;06R_06V_04I_04M;t2;733.29;0;0.67;8.11;2;1;0;0
lr202;06R_06V_04I_03M;t2;547.87;0;0.17;356.17;2;1;0;0
lr202;06R_06V_04I_04M;t2;547.87;0;0.17;444.52;2;1;0;0
lr203;06R_06V_04I_03M;t2;609.92;0;0.33;142.53;2;1;0;0
lr203;06R_06V_04I_04M;t2;606.21;0;0.33;196.38;2;1;0;0
lr204;06R_06V_04I_03M;t2;586.7;100;0.33;3600.08;9;0;1;0
lr204;06R_06V_04I_04M;t2;568.46;100;0.33;3600.07;9;0;1;0
lr205;06R_06V_04I_03M;t2;535.22;0;0.17;86.62;2;1;0;0
lr205;06R_06V_04I_04M;t2;535.22;0;0.17;84.88;2;1;0;0
lr201;08R_08V_02I_03M;t2;948.1;0;0.25;81.94;2;1;0;0
lr201;08R_08V_02I_04M;t2;944.72;0;0.25;88.92;2;1;0;0
lr202;08R_08V_02I_03M;t2;702.14;86.36;0.25;3600.04;9;0;1;0
lr202;08R_08V_02I_04M;t2;694.1;86.21;0.25;3601.54;9;0;1;0
lr203;08R_08V_02I_03M;t2;654.47;100;0.38;3600.07;9;0;1;0
lr203;08R_08V_02I_04M;t2;653.75;100;0.38;3600.13;9;0;1;0
lr204;08R_08V_02I_03M;t2;659.45;100;0.25;3600.06;9;0;1;0
lr204;08R_08V_02I_04M;t2;635.46;100;0.25;3600.09;9;0;1;0
lr205;08R_08V_02I_03M;t2;643.32;0;0.25;1201.13;2;1;0;0
lr205;08R_08V_02I_04M;t2;629.97;0;0.25;1785.01;2;1;0;0
lr201;08R_08V_04I_03M;t2;1022.22;0;0.25;510.24;2;1;0;0
lr201;08R_08V_04I_04M;t2;1018.3;0;0.25;423.78;2;1;0;0
lr202;08R_08V_04I_03M;t2;768.88;89.48;0.25;3600.07;9;0;1;0
lr202;08R_08V_04I_04M;t2;759.67;100;0.25;3600.05;9;0;1;0
lr203;08R_08V_04I_03M;t2;691.06;100;0.38;3600.08;9;0;1;0
lr203;08R_08V_04I_04M;t2;683.66;100;0.12;3600.12;9;0;1;0
lr204;08R_08V_04I_03M;t2;731.55;100;0.25;3600.15;9;0;1;0
lr204;08R_08V_04I_04M;t2;713.7;100;0.25;3600.19;9;0;1;0
lr205;08R_08V_04I_03M;t2;668.25;21.26;0.12;3600.1;9;0;1;0
lr205;08R_08V_04I_04M;t2;661.85;61.86;0.12;3600.06;9;0;1;0
lr201;10R_10V_02I_03M;t2;1006.56;17.85;0.2;3600.02;9;0;1;0
lr201;10R_10V_02I_04M;t2;1005.86;16.82;0.2;3600.02;9;0;1;0
lr202;10R_10V_02I_03M;t2;728.02;100;0.3;3600.06;9;0;1;0
lr202;10R_10V_02I_04M;t2;738.47;100;0.3;3600.03;9;0;1;0
lr203;10R_10V_02I_03M;t2;707.39;100;0.3;3600.12;9;0;1;0
lr203;10R_10V_02I_04M;t2;691.36;100;0.3;3600.26;9;0;1;0
lr204;10R_10V_02I_03M;t2;707.23;100;0.2;3600.7;9;0;1;0
lr204;10R_10V_02I_04M;t2;770.35;100;0.3;3601.34;9;0;1;0
lr205;10R_10V_02I_03M;t2;724.14;90.69;0.3;3600.07;9;0;1;0
lr205;10R_10V_02I_04M;t2;761.09;87.87;0.2;3600.05;9;0;1;0
lr201;10R_10V_04I_03M;t2;1189.03;67.17;0.4;3600.04;9;0;1;0
lr201;10R_10V_04I_04M;t2;1189.03;82.43;0.4;3600.05;9;0;1;0
lr202;10R_10V_04I_03M;t2;999.09;100;0.4;3600.17;9;0;1;0
lr202;10R_10V_04I_04M;t2;935;100;0.3;3600.27;9;0;1;0
lr203;10R_10V_04I_03M;t2;829.83;100;0.4;3601.55;9;0;1;0
lr205;10R_10V_04I_03M;t2;782.11;100;0.2;3600.06;9;0;1;0
lr205;10R_10V_04I_04M;t2;823.87;100;0.2;3600.24;9;0;1;0
lr201;12R_12V_02I_03M;t2;1340.23;74.3;0.25;3600.03;9;0;1;0
lr201;12R_12V_02I_04M;t2;1326.13;85.82;0.25;3600.03;9;0;1;0
lr202;12R_12V_02I_03M;t2;855.73;100;0.25;3600.13;9;0;1;0
lr202;12R_12V_02I_04M;t2;844.44;100;0.25;3600.82;9;0;1;0
lr203;12R_12V_02I_03M;t2;1187.84;100;0.33;3601.39;9;0;1;0
lr203;12R_12V_02I_04M;t2;1189.14;100;0.33;3601.19;9;0;1;0
lr204;12R_12V_02I_04M;t2;NA;NA;0;3602.91;9;0;0;1
lr205;12R_12V_02I_03M;t2;902.8;100;0.17;3600.14;9;0;1;0
lr205;12R_12V_02I_04M;t2;892.31;100;0.25;3600.13;9;0;1;0
lr201;12R_12V_04I_03M;t2;1452.46;100;0.25;3600.05;9;0;1;0
lr201;12R_12V_04I_04M;t2;1477.39;100;0.33;3600.11;9;0;1;0
lr202;12R_12V_04I_04M;t2;1184.31;100;0.33;3601.4;9;0;1;0
lr204;12R_12V_04I_03M;t2;NA;NA;0;3600.09;9;0;0;1
lr204;12R_12V_04I_04M;t2;1166.62;100;0.25;3603.96;9;0;1;0
lr205;12R_12V_04I_03M;t2;1039.64;100;0.25;3601.46;9;0;1;0
lr205;12R_12V_04I_04M;t2;1091.61;100;0.25;3600.26;9;0;1;0
lr203;10R_10V_04I_04M;t2;NA;NA;0;11.61;11;0;0;0
lr204;10R_10V_04I_03M;t2;NA;NA;0;5.75;11;0;0;0
lr204;10R_10V_04I_04M;t2;NA;NA;0;6.53;11;0;0;0
lr204;12R_12V_02I_03M;t2;NA;NA;0;6.35;11;0;0;0
lr202;12R_12V_04I_03M;t2;NA;NA;0;8.22;11;0;0;0
lr203;12R_12V_04I_03M;t2;NA;NA;0;5.97;11;0;0;0
lr203;12R_12V_04I_04M;t2;NA;NA;0;7.49;11;0;0;0
